# NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
71 66.96 65.4351 2.88304e-17 0.0133244 5.04 3.91845 0 0.145455 0 0.0606309 2.88304e-17 0.21941 0.233763 0.181023 3.54137 2.00247 0.30014 0.700931 0.325013 0.455406 0.639713 0.578616
72 66.96 65.3706 1.96836e-17 0.0137517 5.04 4.00544 0 0.130548 0 0.0538638 1.96836e-17 0.198163 0.311405 0.23425 3.20125 1.82527 0.877307 0.996046 0.221898 0.537769 0.428137 0.412104
73 66.96 65.4382 2.19025e-17 0.0133252 5.04 4.00109 0 0.0881423 0 0.0318657 2.19025e-17 0.133333 0.401033 0.304792 3.67052 2.13857 0.553987 0.863761 0.246912 0.496492 0.167544 0.197473
74 66.96 65.4083 3.58049e-17 0.0135816 5.04 4.02975 0 0.0920618 0 0.0304018 3.58049e-17 0.136045 0.482364 0.365711 3.24506 1.94472 0.797005 0.955358 0.403638 0.572859 0.111936 0.191097
75 66.96 65.38 4.16462e-17 0.0137038 5.04 3.96763 0 0.153863 0 0.0604557 4.16462e-17 0.228023 0.107778 0.0935493 2.92281 1.69497 1.03473 1.04301 0.469488 0.61756 0.505192 0.518539
76 66.96 65.5189 5.89788e-17 0.0127655 5.04 3.83352 0 0.151175 0 0.0564115 5.89788e-17 0.220352 0.0101301 0.0239181 3.73224 2.1644 0.0572324 0.568471 0.664883 0.517607 0.575512 0.559128
77 66.96 65.3955 8.38944e-17 0.0137504 5.04 3.89506 0 0.193502 0 0.0782917 8.38944e-17 0.285544 0.295674 0.235714 2.63795 1.61681 0.291692 0.594161 0.945763 0.57465 0.868923 0.873724
78 66.96 65.3574 2.81887e-17 0.0138914 5.04 3.95046 0 0.17266 0 0.0789607 2.81887e-17 0.265512 0.407147 0.297339 3.17211 1.76147 0.120216 0.591784 0.317778 0.397899 1.02275 0.901964
79 66.96 65.4467 8.59514e-17 0.0133651 5.04 3.96319 0 0.120365 0 0.0327938 8.59514e-17 0.166524 0.23292 0.196898 2.79662 1.78672 0.97502 0.986993 0.968952 0.753863 0.0664902 0.238721
80 66.96 65.5113 2.18448e-17 0.0128096 5.04 3.98212 0 0.0516012 0 0.0130542 2.18448e-17 0.077465 0.353796 0.274472 4.20228 2.47015 0.210063 0.712653 0.246262 0.438894 0.027604 0.0859477
81 66.96 65.3971 4.62951e-17 0.0136293 5.04 3.96298 0 0.145339 0 0.0562696 4.62951e-17 0.215238 0.240941 0.190458 2.99814 1.77085 0.844844 0.943215 0.521897 0.59901 0.434175 0.459445
82 66.96 65.3099 3.6772e-18 0.0141415 5.04 4.00137 0 0.167543 0 0.0802564 3.6772e-18 0.261941 0.465819 0.329974 3.16117 1.70019 0.347289 0.713247 0.041454 0.38675 1.02427 0.871206
83 66.96 65.4582 7.28501e-17 0.0132625 5.04 3.89741 0 0.151526 0 0.0546741 7.28501e-17 0.219462 0.218763 0.18239 3.10645 1.88809 0.483337 0.741479 0.821258 0.620999 0.410194 0.464455
84 66.96 65.2615 1.62644e-17 0.0144774 5.04 4.04806 0 0.173378 0 0.0786707 1.62644e-17 0.266527 0.387556 0.277548 2.51605 1.42844 1.14687 1.05096 0.183353 0.549628 0.806172 0.741483
85 66.96 65.2936 5.81846e-17 0.0143239 5.04 4.00868 0 0.186521 0 0.075368 5.81846e-17 0.276212 0.0386366 0.0484559 2.15683 1.32811 1.52376 1.21505 0.65593 0.707821 0.664842 0.709242
86 66.96 65.4599 1.83611e-17 0.0131219 5.04 3.94138 0 0.112774 0 0.0451078 1.83611e-17 0.171004 0.217495 0.169178 3.82502 2.17558 0.421247 0.795848 0.206989 0.460198 0.369248 0.340576
87 66.96 65.4531 7.38181e-17 0.0133009 5.04 3.88755 0 0.161089 0 0.0599606 7.38181e-17 0.234351 0.217774 0.181226 3.08035 1.86293 0.395351 0.690646 0.832171 0.602729 0.514354 0.550025
88 66.96 65.2486 6.01474e-17 0.014655 5.04 4.03474 0 0.197485 0 0.0839331 6.01474e-17 0.296074 0.296637 0.22378 1.74868 1.16915 1.53175 1.13183 0.678057 0.68212 0.784873 0.827859
89 66.96 65.3054 1.29507e-18 0.0141155 5.04 4.06514 0 0.132807 0 0.057276 1.29507e-18 0.204198 0.248245 0.183449 3.01585 1.66997 1.29661 1.21655 0.0145997 0.565443 0.464688 0.429731
90 66.96 65.2689 6.86887e-17 0.0146006 5.04 4.00725 0 0.201354 0 0.0869416 6.86887e-17 0.302896 0.485075 0.354131 1.7388 1.1856 1.16727 0.931709 0.774345 0.628776 0.874516 0.907035
91 66.96 65.4453 3.44155e-18 0.013183 5.04 3.94796 0 0.115325 0 0.0497787 3.44155e-18 0.178287 0.24291 0.183482 3.95078 2.19763 0.321745 0.758695 0.0387974 0.399321 0.485769 0.408833
92 66.96 65.3014 3.49158e-17 0.0142638 5.04 4.0652 0 0.140336 0 0.0557005 3.49158e-17 0.2103 0.383612 0.285043 2.42251 1.47436 1.48666 1.23167 0.393614 0.663863 0.353606 0.410256
93 66.96 65.4556 3.98756e-17 0.0131946 5.04 3.88336 0 0.156412 0 0.0642742 3.98756e-17 0.233881 0.166566 0.134375 3.55266 2.01259 0.124898 0.604076 0.449528 0.451852 0.746344 0.680474
94 66.96 65.3782 2.11045e-17 0.0136509 5.04 3.99204 0 0.136277 0 0.0544745 2.11045e-17 0.204402 0.0691259 0.0619644 3.18232 1.78774 1.11133 1.12721 0.237917 0.583931 0.439311 0.431193
95 66.96 65.5282 8.27829e-17 0.0127607 5.04 3.82815 0 0.15202 0 0.05243 8.27829e-17 0.21721 0.048684 0.0580584 3.55818 2.13542 0.0759638 0.557749 0.933232 0.608414 0.423939 0.468515
96 66.96 65.4529 8.4744e-17 0.0133584 5.04 3.87424 0 0.1692 0 0.0649028 8.4744e-17 0.247461 0.357322 0.28503 3.0396 1.85854 0.0723663 0.530468 0.95534 0.563492 0.615376 0.636712
97 66.96 65.4237 4.71772e-17 0.0134354 5.04 3.91954 0 0.156241 0 0.0616491 4.71772e-17 0.231325 0.161878 0.133487 3.1764 1.8429 0.589544 0.814638 0.53184 0.556961 0.580335 0.57155
98 66.96 65.3407 8.77581e-17 0.0141011 5.04 3.97865 0 0.179391 0 0.0662629 8.77581e-17 0.259755 0.207701 0.173905 1.99979 1.34899 1.37135 1.09874 0.989319 0.762796 0.471837 0.594218
99 66.96 65.3464 3.2931e-17 0.013913 5.04 3.99178 0 0.158735 0 0.0650127 3.2931e-17 0.237661 0.140258 0.114282 2.82487 1.61923 1.12509 1.08301 0.37124 0.604578 0.57855 0.570676
100 66.96 65.3734 8.92775e-17 0.0138953 5.04 3.94118 0 0.181582 0 0.068114 8.92775e-17 0.263591 0.258119 0.211 2.24921 1.46929 0.983798 0.913253 1.00645 0.712003 0.542425 0.635632
101 66.96 65.3045 2.63974e-17 0.0142485 5.04 3.9936 0 0.180397 0 0.0824261 2.63974e-17 0.277071 0.424197 0.305981 2.73804 1.54361 0.608484 0.790394 0.297585 0.474596 0.97169 0.879015
102 66.96 65.3874 8.99139e-17 0.0138196 5.04 4.01177 0 0.128909 0 0.0363118 8.99139e-17 0.179041 0.359454 0.286573 2.1931 1.49348 1.40882 1.15603 1.01362 0.803739 0.0650011 0.27195
103 66.96 65.2863 2.9983e-17 0.0143733 5.04 4.03123 0 0.169717 0 0.0747349 2.9983e-17 0.258826 0.450117 0.325773 2.45854 1.44763 1.07729 1.00433 0.338006 0.566858 0.716048 0.686641
104 66.96 65.3203 6.53113e-17 0.0142193 5.04 4.00204 0 0.172867 0 0.0686621 6.53113e-17 0.255748 0.358936 0.27394 2.13871 1.37988 1.26634 1.05664 0.736271 0.682201 0.539747 0.60938
105 66.96 65.4749 5.64221e-17 0.0131337 5.04 3.97685 0 0.0867977 0 0.0221527 5.64221e-17 0.122084 0.321917 0.257257 3.42115 2.08462 0.631223 0.866571 0.636061 0.614911 0.0296489 0.153495
106 66.96 65.2899 6.01942e-18 0.0142007 5.04 4.03022 0 0.166582 0 0.0742957 6.01942e-18 0.255078 0.128957 0.0996658 2.86605 1.55197 1.20024 1.13389 0.0678585 0.548995 0.776889 0.6957
107 66.96 65.3549 7.31255e-17 0.0139875 5.04 3.95436 0 0.18233 0 0.0720452 7.31255e-17 0.268363 0.257463 0.205579 2.34694 1.47469 0.965634 0.918055 0.824362 0.660459 0.645602 0.695578
108 66.96 65.3853 2.40055e-17 0.0136031 5.04 3.95419 0 0.156621 0 0.0647747 2.40055e-17 0.234998 0.0410352 0.041827 3.18755 1.76762 0.885895 0.991 0.27062 0.545576 0.654895 0.60816
109 66.96 65.4398 3.56994e-17 0.0133787 5.04 3.9432 0 0.124382 0 0.0515604 3.56994e-17 0.189321 0.518524 0.391225 3.60646 2.10629 0.0660196 0.601953 0.402449 0.429649 0.446552 0.414083
110 66.96 65.3752 5.21126e-17 0.013783 5.04 4.04457 0 0.109782 0 0.0331479 5.21126e-17 0.156713 0.202515 0.165252 2.71589 1.66728 1.44505 1.25982 0.587479 0.725375 0.089074 0.226853
111 66.96 65.5152 1.80453e-17 0.0127612 5.04 3.96317 0 0.0603317 0 0.0192346 1.80453e-17 0.0923275 0.31263 0.242552 4.27672 2.49508 0.162703 0.692651 0.203429 0.417971 0.0845195 0.11492
112 66.96 65.4723 4.76496e-17 0.0131612 5.04 3.9982 0 0.0724484 0 0.016987 4.76496e-17 0.102597 0.447604 0.348464 3.55383 2.15629 0.495734 0.809712 0.537166 0.562377 0.00566848 0.121356
113 66.96 65.4359 5.20966e-17 0.0133603 5.04 3.88 0 0.1735 0 0.0710832 5.20966e-17 0.257943 0.148339 0.123296 3.27313 1.86833 0.174188 0.599695 0.587298 0.487785 0.857044 0.800902
114 66.96 65.425 8.72629e-17 0.0134979 5.04 3.9216 0 0.161485 0 0.0554062 8.72629e-17 0.23039 0.0889632 0.0905068 2.67377 1.67849 0.938051 0.948394 0.983737 0.739052 0.355478 0.465156
115 66.96 65.4956 3.81442e-18 0.0128141 5.04 3.96402 0 0.0720937 0 0.0264791 3.81442e-18 0.111387 0.129778 0.102972 4.25792 2.42001 0.443292 0.847896 0.0430009 0.429503 0.166008 0.163632
116 66.96 65.3768 9.14424e-21 0.0136546 5.04 4.01034 0 0.119774 0 0.0522602 9.14424e-21 0.185688 0.320029 0.236467 3.53825 1.9592 0.723299 0.953083 0.000103085 0.464175 0.458318 0.397407
117 66.96 65.3054 9.38635e-17 0.0143435 5.04 3.97659 0 0.204577 0 0.0791761 9.38635e-17 0.298097 0.00397315 0.0316387 1.84258 1.24835 1.45117 1.13452 1.05815 0.774077 0.684134 0.788002
