# NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
78 68.31 66.6449 1.11945e-16 0.0142776 3.57192 2.74857 0.11808 0.120342 0 0.04708 0.11808 0.1817 0.12177 0.146448 2.23983 1.24436 0.48339 0.639767 0.63099 0.48381 0.09594 0.234189
79 68.58 66.9054 1.00113e-16 0.0142086 3.33792 2.509 0.08208 0.104338 0 0.0421898 0.08208 0.160736 0.01368 0.0586738 2.2059 1.154 0.46512 0.621927 0.5643 0.453108 0.08892 0.221295
80 63.72 62.2824 6.31654e-17 0.014009 7.88256 6.80394 0.39744 0.379298 0 0.0936569 0.39744 0.486964 0.15732 0.252004 4.52088 3.03835 1.87956 1.81253 0.35604 0.782872 0.96876 0.918183
81 67.77 66.132 1.15569e-16 0.0140962 4.18347 3.229 0.04653 0.142361 0 0.0584595 0.04653 0.214917 0.21996 0.189294 2.38572 1.38273 0.61758 0.732808 0.65142 0.536602 0.30879 0.387559
82 68.175 66.5151 2.78225e-17 0.0141483 3.72555 2.88863 0.09945 0.10777 0 0.0469952 0.09945 0.168914 0.202725 0.184057 2.83815 1.44003 0.332775 0.65605 0.156825 0.388332 0.195075 0.220155
83 66.8925 65.3032 2.44654e-17 0.0142415 4.85213 3.99001 0.255375 0.193898 0 0.070532 0.255375 0.278672 0.372847 0.367302 3.42202 1.97162 0.556717 0.843898 0.137902 0.454445 0.362632 0.352746
84 67.905 66.2555 1.8889e-17 0.0139237 4.09091 3.10786 0.004095 0.131172 0 0.0643284 0.004095 0.209424 0.19656 0.142222 2.99345 1.48583 0.18837 0.605992 0.10647 0.355423 0.60606 0.518396
85 65.2725 63.7795 1.9932e-16 0.0139376 6.5324 5.44588 0.195097 0.268279 0 0.0699489 0.195098 0.352166 0.24219 0.273244 2.81209 1.98173 1.97116 1.64358 1.12349 1.0206 0.383467 0.526723
86 65.475 63.9621 1.89848e-16 0.0145425 6.09435 5.14031 0.43065 0.354756 0 0.103242 0.43065 0.472541 0.63945 0.652845 2.89057 2.04202 0.8091 0.910701 1.0701 0.766876 0.685125 0.76787
87 68.3775 66.7023 7.00512e-17 0.014358 3.46311 2.68919 0.15939 0.117093 0 0.0500101 0.15939 0.181461 0.21735 0.21991 2.54662 1.32926 0.17388 0.548428 0.394852 0.384498 0.13041 0.207102
88 67.7025 66.0516 3.0497e-18 0.0142576 4.14279 3.30361 0.15471 0.139366 0 0.0624252 0.15471 0.216049 0.39537 0.335808 3.21883 1.68867 0.150413 0.625555 0.01719 0.340868 0.36099 0.312709
89 64.665 63.1882 2.73275e-17 0.0135685 7.17363 6.07033 0.16137 0.232257 0 0.069185 0.16137 0.31501 0.242055 0.245534 4.26897 2.73587 1.84108 1.75963 0.154035 0.711643 0.667485 0.617661
90 67.095 65.5112 9.57221e-17 0.0142726 4.62541 3.75444 0.279585 0.218723 0 0.0753517 0.279585 0.308348 0.132435 0.210544 2.88414 1.71083 0.74556 0.865729 0.53955 0.573904 0.32373 0.393435
91 66.3525 64.8036 1.30251e-16 0.0138649 5.55714 4.53716 0.09036 0.168929 0 0.0526138 0.09036 0.235407 0.463095 0.393782 2.79551 1.82981 1.3441 1.21647 0.734175 0.759347 0.220252 0.33775
92 61.425 60.0807 1.70727e-16 0.0145276 9.90878 8.74598 0.666225 0.614201 0 0.118441 0.666225 0.747169 0.86715 0.892286 4.50495 3.36789 1.99867 1.90885 0.962325 1.02913 1.57567 1.54783
93 67.365 65.7615 1.06077e-16 0.013996 4.53303 3.51321 0.10197 0.202918 0 0.0833855 0.10197 0.3003 0 0.0547011 2.68366 1.49542 0.48204 0.691332 0.597915 0.515334 0.76941 0.756425
94 65.205 63.706 1.83237e-16 0.0143576 6.42807 5.39858 0.36693 0.360442 0 0.0967266 0.36693 0.471526 0.1359 0.243707 3.05775 2.09339 1.47452 1.34303 1.03284 0.912193 0.727065 0.80626
95 66.3525 64.7846 8.71678e-17 0.0140897 5.49502 4.46225 0.152482 0.226762 0 0.086321 0.152483 0.327173 0.508275 0.437175 3.15131 1.92481 0.485685 0.770124 0.491332 0.520317 0.85842 0.80982
96 65.61 64.0969 8.84252e-17 0.0136666 6.28776 5.20192 0.10224 0.201383 0 0.0616077 0.10224 0.276657 0.11502 0.136242 3.43143 2.17359 1.79559 1.61005 0.49842 0.798483 0.4473 0.483554
97 66.6225 65.036 1.14483e-17 0.0144247 5.03334 4.1772 0.34416 0.248127 0 0.0943381 0.34416 0.35689 0.478598 0.471795 3.69972 2.11846 0.0483975 0.615137 0.06453 0.332631 0.742095 0.639174
98 64.4625 62.9992 3.61054e-17 0.0136911 7.2963 6.18944 0.2412 0.287382 0 0.0833515 0.2412 0.384425 0.256275 0.281451 4.3416 2.80088 1.56026 1.5757 0.203513 0.676182 0.93465 0.855234
99 61.3575 60.025 5.09786e-17 0.0142387 10.0039 8.94218 0.63855 0.504664 0 0.0860384 0.63855 0.604941 0.500197 0.578956 5.48089 3.95398 3.16082 2.901 0.287347 0.921952 0.574695 0.586283
100 65.34 63.8485 1.89049e-16 0.0136393 6.58008 5.43188 0.07992 0.220759 0 0.0628666 0.07992 0.297265 0.45954 0.400679 2.75724 1.94031 1.8648 1.55921 1.0656 0.978323 0.4329 0.553355
101 61.83 60.46 7.21708e-17 0.0129853 10.0683 8.71673 0.1017 0.302614 0 0.0824017 0.1017 0.398001 0.7119 0.606684 4.76973 3.35353 2.5425 2.35276 0.4068 0.895711 1.63737 1.50805
102 65.745 64.2343 2.05296e-16 0.0139449 6.0736 5.01639 0.181395 0.245133 0 0.0677742 0.181395 0.326853 0.419085 0.404037 2.56455 1.82821 1.61379 1.35705 1.15717 0.944798 0.319005 0.482298
103 66.2175 64.6482 1.24131e-16 0.0145493 5.43555 4.4919 0.34695 0.306896 0 0.111318 0.34695 0.432764 0.520425 0.516837 3.08207 1.9305 0.0520425 0.543532 0.699683 0.471087 1.08133 1.02994
104 65.88 64.3673 1.92179e-16 0.0138089 5.9976 4.93937 0.1224 0.202163 0 0.0547477 0.1224 0.270719 0.52632 0.463699 2.55204 1.80971 1.64628 1.37454 1.08324 0.923441 0.18972 0.367988
105 65.5425 64.0311 1.68408e-16 0.0144297 6.06359 5.09544 0.393907 0.343139 0 0.0915448 0.393908 0.449114 0.0968625 0.222752 3.03503 2.04552 1.46585 1.33095 0.949253 0.877126 0.5166 0.61909
106 67.7025 66.0774 1.30374e-16 0.0140906 4.20725 3.31587 0.0902475 0.128738 0 0.0405043 0.0902475 0.183332 0.008595 0.0613981 2.30346 1.37628 1.10875 0.986765 0.734873 0.660082 0.05157 0.231345
107 65.475 63.9598 1.96793e-17 0.0137719 6.35535 5.29073 0.16965 0.229175 0 0.0791097 0.16965 0.322057 0.450225 0.401819 3.97372 2.44026 0.97875 1.15663 0.110925 0.543007 0.841725 0.749016
108 66.96 65.3729 9.47801e-17 0.0140829 4.8888 3.91285 0.1512 0.199553 0 0.0752353 0.1512 0.288871 0.26712 0.261398 2.89296 1.72051 0.67032 0.831036 0.53424 0.557179 0.52416 0.542733
109 67.9725 66.3134 6.2878e-17 0.0142001 3.9389 3.03415 0.088605 0.144879 0 0.0667822 0.088605 0.225861 0.261787 0.2234 2.71453 1.43114 0.173182 0.569556 0.35442 0.388369 0.43497 0.421692
110 67.5675 65.9342 1.10092e-16 0.0143296 4.2419 3.32699 0.190598 0.209068 0 0.0891541 0.190598 0.312552 0.19503 0.222564 2.63734 1.48286 0.110813 0.521057 0.62055 0.432312 0.678173 0.668196
111 66.15 64.61 1.34921e-16 0.0142019 5.5809 4.59738 0.2691 0.266669 0 0.0866498 0.2691 0.367521 0.4212 0.423568 2.96595 1.92588 0.8424 0.938946 0.7605 0.670337 0.59085 0.638652
112 66.8925 65.3093 1.44074e-16 0.0138582 5.09218 4.0238 0.0153225 0.16876 0 0.061636 0.0153225 0.244254 0.209407 0.17872 2.49246 1.57118 1.14919 1.04731 0.812092 0.711219 0.42903 0.51536
113 66.285 64.7314 1.56141e-16 0.0144107 5.3721 4.39362 0.3429 0.32495 0 0.110203 0.3429 0.449563 0.13716 0.239147 2.86893 1.80213 0.451485 0.694767 0.88011 0.618187 1.03442 1.03938
114 65.475 63.9679 1.73641e-17 0.0139311 6.25095 5.25603 0.27405 0.25645 0 0.0781669 0.27405 0.348548 0.1044 0.175954 4.0977 2.51555 1.3311 1.39064 0.097875 0.601635 0.619875 0.572249
115 68.5463 66.865 5.14696e-17 0.0143673 3.26725 2.51794 0.186502 0.119667 0 0.0548115 0.186503 0.188846 0.148511 0.179957 2.63867 1.29956 0.0172687 0.493073 0.290115 0.331469 0.172688 0.213886
116 67.905 66.2629 1.41667e-16 0.0144432 3.84521 2.99415 0.249795 0.21273 0 0.0899701 0.249795 0.317143 0.028665 0.134148 2.37101 1.33726 0.13923 0.492656 0.798525 0.465176 0.50778 0.56491
