# Simulation number	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
736	5.996673E+07	5.157129E+03	1.053519E+07	8.331922E+05	0.000000E+00	8.383493E+05	1.000382E+06	6.845771E+06	5.950010E+05	1.389136E+06	7.049026E+05
737	5.994376E+07	2.903944E+03	1.080703E+07	5.865801E+05	0.000000E+00	5.894840E+05	3.978317E+05	3.363137E+06	3.232904E+06	1.685343E+06	2.127815E+06
738	5.996616E+07	1.679550E+03	1.097573E+07	3.966999E+05	0.000000E+00	3.983795E+05	9.740137E+05	4.936797E+06	2.022811E+06	1.416568E+06	1.625538E+06
739	5.993130E+07	4.521850E+03	1.072273E+07	6.817128E+05	0.000000E+00	6.862347E+05	9.325654E+04	7.959250E+06	1.269431E+06	8.423273E+05	5.584612E+05
740	5.996372E+07	5.003726E+03	1.060903E+07	7.625158E+05	0.000000E+00	7.675195E+05	9.226762E+05	8.094916E+06	4.045051E+05	9.948214E+05	1.921084E+05
741	5.994653E+07	4.933451E+03	1.056026E+07	8.285596E+05	0.000000E+00	8.334931E+05	4.637331E+05	4.603873E+06	3.222800E+06	1.571215E+06	6.986339E+05
742	5.996759E+07	5.198289E+03	1.057055E+07	7.969305E+05	0.000000E+00	8.021288E+05	1.028358E+06	7.163818E+06	2.016645E+04	1.070157E+06	1.288054E+06
743	5.994012E+07	7.491862E+03	1.026573E+07	1.126935E+06	0.000000E+00	1.134427E+06	3.154305E+05	4.615691E+06	2.173529E+06	1.376076E+06	1.785001E+06
744	5.994111E+07	3.362692E+02	1.133042E+07	6.839704E+04	0.000000E+00	6.873331E+04	3.447587E+05	8.871307E+06	7.084426E+05	1.987933E+05	1.207123E+06
745	5.997008E+07	1.132035E+03	1.118363E+07	1.854345E+05	0.000000E+00	1.865665E+05	1.063108E+06	6.052232E+06	2.466134E+06	3.244763E+05	1.277676E+06
746	5.993533E+07	6.663158E+03	1.048788E+07	9.103991E+05	0.000000E+00	9.170623E+05	1.912406E+05	8.313421E+06	1.447168E+06	5.171315E+05	1.892083E+04
747	5.993305E+07	2.905986E+03	1.084696E+07	5.573455E+05	0.000000E+00	5.602515E+05	1.407991E+05	7.977503E+06	1.006508E+06	1.458490E+06	2.636635E+05
748	5.993534E+07	5.677009E+03	1.058791E+07	8.113395E+05	0.000000E+00	8.170165E+05	2.038137E+05	7.958451E+06	5.919692E+05	7.150356E+05	1.118643E+06
749	5.993210E+07	6.284100E+03	1.049170E+07	9.101928E+05	0.000000E+00	9.164769E+05	1.177081E+05	6.466581E+06	1.297755E+06	8.844935E+05	1.725164E+06
750	5.995007E+07	3.019486E+03	1.078280E+07	6.043732E+05	0.000000E+00	6.073927E+05	5.791904E+05	8.171841E+06	2.985762E+05	1.709743E+06	2.345171E+04
751	5.993349E+07	2.769516E+03	1.105343E+07	3.505806E+05	0.000000E+00	3.533501E+05	1.566308E+05	8.283856E+06	5.227086E+05	9.344241E+02	2.089299E+06
752	5.993504E+07	1.598864E+03	1.119888E+07	2.047498E+05	0.000000E+00	2.063487E+05	1.718939E+05	6.920393E+06	2.724904E+06	1.866712E+04	1.363024E+06
753	5.994185E+07	2.996934E+03	1.097179E+07	4.236321E+05	0.000000E+00	4.266290E+05	3.566659E+05	7.386233E+06	1.623548E+06	3.414766E+05	1.263868E+06
754	5.994324E+07	5.643809E+03	1.055611E+07	8.352700E+05	0.000000E+00	8.409138E+05	3.847278E+05	4.020176E+06	3.064215E+06	9.314187E+05	2.155577E+06
755	5.996724E+07	5.886456E+03	1.042559E+07	9.415568E+05	0.000000E+00	9.474433E+05	1.015174E+06	6.109012E+06	6.387178E+05	1.512775E+06	1.149910E+06
756	5.996483E+07	7.292302E+01	1.136564E+07	9.736458E+03	0.000000E+00	9.809381E+03	9.287848E+05	5.932563E+06	2.614146E+06	3.912467E+03	1.886232E+06
757	5.993032E+07	6.136317E+03	1.042587E+07	9.779423E+05	0.000000E+00	9.840786E+05	8.500523E+04	7.136255E+06	2.022260E+05	1.549447E+06	1.452938E+06
758	5.996441E+07	1.794138E+03	1.110856E+07	2.655120E+05	0.000000E+00	2.673061E+05	9.338194E+05	7.853057E+06	9.192243E+05	2.959691E+05	1.106488E+06
759	5.994075E+07	4.168378E+03	1.085355E+07	5.418114E+05	0.000000E+00	5.459798E+05	3.221689E+05	6.194651E+06	2.437961E+06	1.102836E+05	1.788482E+06
760	5.993064E+07	3.920766E+03	1.071560E+07	6.901040E+05	0.000000E+00	6.940248E+05	8.370227E+04	6.588387E+06	1.074468E+06	1.491923E+06	1.477121E+06
761	5.994009E+07	3.361790E+03	1.090364E+07	4.931795E+05	0.000000E+00	4.965413E+05	3.137295E+05	7.727460E+06	1.424284E+06	5.212938E+05	9.168699E+05
762	5.995559E+07	5.548510E+03	1.062263E+07	7.565082E+05	0.000000E+00	7.620567E+05	7.098746E+05	7.800759E+06	1.040867E+06	4.183585E+05	6.527659E+05
763	5.993199E+07	1.790926E+03	1.108515E+07	3.213357E+05	0.000000E+00	3.231266E+05	1.213603E+05	7.668566E+06	4.929708E+05	7.284785E+05	2.073777E+06
764	5.996612E+07	3.217763E+03	1.083240E+07	5.385314E+05	0.000000E+00	5.417492E+05	9.564608E+05	5.378409E+06	3.190743E+06	1.010315E+06	2.964674E+05
765	5.994759E+07	6.574147E+03	1.034026E+07	1.045849E+06	0.000000E+00	1.052423E+06	5.104856E+05	5.442192E+06	1.471102E+06	1.645615E+06	1.270864E+06
766	5.996110E+07	6.137185E+03	1.040640E+07	9.666288E+05	0.000000E+00	9.727660E+05	8.363017E+05	4.108237E+06	3.018246E+06	1.461582E+06	9.820338E+05
767	5.995690E+07	1.322172E+03	1.109276E+07	2.892837E+05	0.000000E+00	2.906059E+05	7.316688E+05	5.196580E+06	2.603668E+06	9.381940E+05	1.622649E+06
768	5.993701E+07	1.078843E+03	1.124734E+07	1.548361E+05	0.000000E+00	1.559149E+05	2.211965E+05	5.644066E+06	3.096396E+06	1.408944E+05	2.144791E+06
769	5.994087E+07	4.019687E+03	1.069648E+07	6.988943E+05	0.000000E+00	7.029140E+05	3.373756E+05	4.814502E+06	1.896091E+06	1.463253E+06	2.185262E+06
770	5.994813E+07	3.824023E+03	1.071368E+07	6.746303E+05	0.000000E+00	6.784543E+05	5.090418E+05	5.627596E+06	2.598196E+06	1.467066E+06	5.117812E+05
771	5.995938E+07	3.100327E+03	1.086894E+07	5.088452E+05	0.000000E+00	5.119455E+05	8.143493E+05	8.430939E+06	2.163681E+05	8.962800E+05	5.110014E+05
772	5.996658E+07	2.669919E+03	1.097976E+07	3.912690E+05	0.000000E+00	3.939389E+05	9.731220E+05	6.437022E+06	2.487044E+06	4.108399E+05	6.717311E+05
773	5.993181E+07	6.422243E+03	1.045127E+07	9.507678E+05	0.000000E+00	9.571900E+05	1.118283E+05	6.983232E+06	1.065669E+06	1.062128E+06	1.228416E+06
774	5.996219E+07	5.851983E+03	1.057310E+07	7.991278E+05	0.000000E+00	8.049798E+05	8.864945E+05	8.437853E+06	1.101838E+05	4.507997E+05	6.877687E+05
775	5.992991E+07	5.858794E+03	1.061223E+07	7.922708E+05	0.000000E+00	7.981296E+05	7.283054E+04	8.056207E+06	8.191616E+04	3.914275E+05	2.009849E+06
776	5.994436E+07	2.050093E+03	1.107473E+07	3.191295E+05	0.000000E+00	3.211796E+05	4.261887E+05	7.870175E+06	1.016961E+06	4.592541E+05	1.302154E+06
777	5.994192E+07	4.322317E+03	1.068445E+07	7.095786E+05	0.000000E+00	7.139009E+05	3.589316E+05	6.668045E+06	1.786784E+06	1.250875E+06	6.198158E+05
778	5.996013E+07	1.928948E+03	1.108538E+07	2.928330E+05	0.000000E+00	2.947619E+05	8.092928E+05	6.666797E+06	2.508401E+06	3.749024E+05	7.259861E+05
779	5.993153E+07	4.337900E+03	1.076702E+07	6.373898E+05	0.000000E+00	6.417277E+05	1.057171E+05	8.592410E+06	5.592139E+05	6.804491E+05	8.292267E+05
780	5.997053E+07	3.165420E+03	1.085556E+07	5.110179E+05	0.000000E+00	5.141833E+05	1.073702E+06	3.472069E+06	3.216905E+06	8.496353E+05	2.243245E+06
781	5.996414E+07	1.084489E+03	1.113427E+07	2.407807E+05	0.000000E+00	2.418652E+05	9.296761E+05	8.037049E+06	6.643229E+05	7.964640E+05	7.067609E+05
782	5.996220E+07	3.526251E+02	1.132632E+07	5.139264E+04	0.000000E+00	5.174527E+04	8.733574E+05	7.402317E+06	1.401042E+06	5.207994E+04	1.597526E+06
783	5.994860E+07	2.143013E+03	1.089677E+07	4.927479E+05	0.000000E+00	4.948909E+05	5.341136E+05	4.608735E+06	1.837667E+06	1.704244E+06	2.212014E+06
784	5.992801E+07	6.599310E+03	1.035722E+07	1.048442E+06	0.000000E+00	1.055041E+06	2.033317E+04	7.557017E+06	5.781617E+05	1.641071E+06	5.606409E+05
785	5.993672E+07	9.586096E+02	1.119858E+07	2.040111E+05	0.000000E+00	2.049697E+05	2.123502E+05	6.040608E+06	3.121737E+06	6.361632E+05	1.187720E+06
786	5.994021E+07	4.267349E+03	1.076008E+07	6.357148E+05	0.000000E+00	6.399821E+05	3.233594E+05	8.499583E+06	7.180714E+05	7.362348E+05	4.828281E+05
787	5.995752E+07	7.225827E+03	1.034549E+07	1.030030E+06	0.000000E+00	1.037256E+06	7.549403E+05	6.457942E+06	1.707188E+06	8.896409E+05	5.357743E+05
788	5.996078E+07	3.719209E+03	1.079078E+07	5.849938E+05	0.000000E+00	5.887130E+05	8.484368E+05	7.014297E+06	6.719494E+05	8.796214E+05	1.376472E+06
789	5.994598E+07	3.029290E+03	1.085813E+07	5.331271E+05	0.000000E+00	5.361564E+05	4.671232E+05	6.481419E+06	1.404874E+06	1.152193E+06	1.352521E+06
790	5.993682E+07	2.997822E+03	1.096547E+07	4.349802E+05	0.000000E+00	4.379780E+05	2.198157E+05	7.806361E+06	2.278028E+06	4.278985E+05	2.333692E+05
791	5.992966E+07	6.209875E+03	1.050835E+07	8.960481E+05	0.000000E+00	9.022580E+05	6.568522E+04	7.786959E+06	2.358838E+05	8.479408E+05	1.571878E+06
792	5.994287E+07	5.972478E+03	1.051771E+07	8.737155E+05	0.000000E+00	8.796880E+05	3.686158E+05	4.707367E+06	3.410714E+06	9.072283E+05	1.123787E+06
793	5.996542E+07	6.440126E+03	1.040803E+07	9.603853E+05	0.000000E+00	9.668254E+05	9.618975E+05	6.522407E+06	1.087149E+06	1.118698E+06	7.178787E+05
794	5.995570E+07	2.181519E+03	1.097732E+07	4.050681E+05	0.000000E+00	4.072496E+05	7.053442E+05	5.261165E+06	2.264954E+06	9.923528E+05	1.753508E+06
795	5.996027E+07	4.264597E+03	1.071987E+07	6.558695E+05	0.000000E+00	6.601341E+05	8.117282E+05	5.802605E+06	2.835090E+06	8.939385E+05	3.765058E+05
796	5.993850E+07	4.119174E+03	1.075712E+07	6.405390E+05	0.000000E+00	6.446582E+05	2.855145E+05	6.989905E+06	6.874188E+05	9.175642E+05	1.876714E+06
797	5.993329E+07	5.671784E+03	1.060580E+07	7.955017E+05	0.000000E+00	8.011735E+05	1.334160E+05	4.829506E+06	2.851281E+06	5.983012E+05	2.193300E+06
798	5.996949E+07	5.594040E+03	1.045131E+07	9.138714E+05	0.000000E+00	9.194654E+05	1.053569E+06	5.127180E+06	2.339056E+06	1.584443E+06	3.470618E+05
799	5.994417E+07	6.694319E+03	1.037029E+07	1.019107E+06	0.000000E+00	1.025801E+06	4.333290E+05	8.302847E+06	2.467718E+04	1.322959E+06	2.864794E+05
800	5.993813E+07	6.347725E+03	1.042494E+07	9.708573E+05	0.000000E+00	9.772050E+05	2.489736E+05	4.736841E+06	3.395017E+06	1.289183E+06	7.549254E+05
801	5.997040E+07	2.114574E+03	1.099803E+07	3.697159E+05	0.000000E+00	3.718305E+05	1.088262E+06	6.808171E+06	9.749413E+05	7.855912E+05	1.341068E+06
802	5.994597E+07	3.240695E+03	1.078151E+07	6.095469E+05	0.000000E+00	6.127876E+05	4.542279E+05	5.167144E+06	2.728117E+06	1.534229E+06	8.977939E+05
803	5.997135E+07	4.854477E+03	1.074015E+07	6.239091E+05	0.000000E+00	6.287636E+05	1.097247E+06	6.012778E+06	2.335171E+06	7.395962E+04	1.220996E+06
804	5.996640E+07	5.997777E+03	1.049001E+07	8.778580E+05	0.000000E+00	8.838558E+05	9.718479E+05	4.831940E+06	2.679071E+06	9.144675E+05	1.092688E+06
805	5.995612E+07	6.840808E+03	1.040549E+07	9.718183E+05	0.000000E+00	9.786591E+05	7.267124E+05	6.912949E+06	1.009988E+06	8.166421E+05	9.392033E+05
806	5.995336E+07	6.330667E+03	1.038329E+07	9.972798E+05	0.000000E+00	1.003610E+06	6.643483E+05	7.467219E+06	3.250492E+05	1.509021E+06	4.176572E+05
807	5.993201E+07	5.403134E+03	1.051363E+07	8.892248E+05	0.000000E+00	8.946279E+05	1.265543E+05	7.894128E+06	9.739303E+04	1.580681E+06	8.148735E+05
808	5.996753E+07	4.055461E+03	1.064492E+07	7.237683E+05	0.000000E+00	7.278238E+05	1.023597E+06	5.271224E+06	7.641310E+05	1.619759E+06	1.966211E+06
809	5.994120E+07	1.398818E+03	1.111227E+07	2.853988E+05	0.000000E+00	2.867976E+05	3.419614E+05	8.732000E+06	1.158594E+06	8.337109E+05	4.600100E+04
810	5.996840E+07	3.419135E+03	1.076621E+07	6.022379E+05	0.000000E+00	6.056570E+05	1.034619E+06	5.735447E+06	1.494386E+06	1.304329E+06	1.197433E+06
811	5.994768E+07	3.906255E+03	1.085194E+07	5.367407E+05	0.000000E+00	5.406470E+05	5.006035E+05	6.805093E+06	2.032875E+06	3.264126E+05	1.186959E+06
812	5.995760E+07	4.002425E+03	1.083796E+07	5.407117E+05	0.000000E+00	5.447141E+05	7.675304E+05	8.687014E+06	2.590324E+05	2.633516E+05	8.610344E+05
813	5.996044E+07	2.009021E+03	1.095909E+07	4.187266E+05	0.000000E+00	4.207356E+05	8.159437E+05	6.083742E+06	2.779536E+06	1.265308E+06	1.456046E+04
814	5.996485E+07	5.508575E+03	1.047988E+07	8.900316E+05	0.000000E+00	8.955402E+05	9.500747E+05	4.627267E+06	1.387644E+06	1.484258E+06	2.030640E+06
815	5.993691E+07	7.112515E+03	1.026888E+07	1.127377E+06	0.000000E+00	1.134490E+06	2.327108E+05	3.513083E+06	2.592727E+06	1.748701E+06	2.181654E+06
816	5.996741E+07	3.293261E+03	1.089455E+07	4.750167E+05	0.000000E+00	4.783100E+05	1.021943E+06	7.009046E+06	2.008543E+05	4.482906E+05	2.214412E+06
817	5.996930E+07	4.185602E+03	1.074203E+07	6.247465E+05	0.000000E+00	6.289321E+05	1.065705E+06	8.173098E+06	2.227949E+05	7.314354E+05	5.489957E+05
