simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
333	5.823410E+07	2.888955E+04	1.044292E+07	1.043360E+06	6.508484E+04	1.137335E+06	3.919567E+05	5.028829E+06	1.927188E+06	9.939713E+05	2.100898E+06
334	5.829574E+07	2.416774E+04	1.073784E+07	7.136499E+05	4.182081E+04	7.796384E+05	3.496384E+05	5.197412E+06	2.981314E+06	1.257294E+06	9.521437E+05
335	5.826763E+07	2.110148E+04	1.141795E+07	9.479871E+04	6.837586E+03	1.227378E+05	6.362027E+05	6.772727E+06	2.221578E+06	1.179290E+05	1.669445E+06
336	5.847557E+07	2.422262E+04	1.050470E+07	7.646832E+05	3.979634E+04	8.287021E+05	1.141853E+05	6.906272E+06	8.747081E+05	9.679950E+05	1.641492E+06
337	5.839614E+07	2.672224E+04	1.035690E+07	9.763463E+05	5.486680E+04	1.057935E+06	4.546820E+05	6.021117E+06	1.690951E+06	9.357459E+05	1.254359E+06
338	5.822221E+07	2.298539E+04	1.114239E+07	3.993832E+05	2.527986E+04	4.476484E+05	7.935046E+05	5.210752E+06	2.792727E+06	8.305711E+05	1.514775E+06
339	5.832833E+07	2.405572E+04	1.074049E+07	6.788798E+05	3.923777E+04	7.421733E+05	1.160062E+05	6.155777E+06	2.849599E+06	8.962676E+05	7.228145E+05
340	5.829732E+07	2.608448E+04	1.055614E+07	8.822507E+05	5.187858E+04	9.602138E+05	2.325914E+05	5.236255E+06	2.356543E+06	1.231956E+06	1.498742E+06
341	5.833524E+07	2.386865E+04	1.072158E+07	6.911768E+05	4.022945E+04	7.552749E+05	8.428190E+05	5.176686E+06	2.867125E+06	1.146455E+06	6.884632E+05
342	5.847844E+07	2.369159E+04	1.048479E+07	7.808967E+05	4.135566E+04	8.459440E+05	8.201012E+05	6.152354E+06	2.216103E+06	1.068426E+06	2.277919E+05
343	5.855444E+07	1.952438E+04	1.099111E+07	2.266646E+05	1.151598E+04	2.577049E+05	5.727480E+05	8.626212E+06	1.551089E+06	1.293680E+05	1.116805E+05
344	5.852262E+07	2.387788E+04	1.034672E+07	8.728402E+05	4.310531E+04	9.398234E+05	9.292344E+04	6.632789E+06	1.223726E+06	1.379592E+06	1.017654E+06
345	5.818772E+07	2.221944E+04	1.134788E+07	2.369019E+05	1.570062E+04	2.748219E+05	3.605986E+05	6.143073E+06	3.084360E+06	4.037993E+05	1.355992E+06
346	5.848023E+07	2.042386E+04	1.081565E+07	4.683641E+05	2.345308E+04	5.122411E+05	6.519194E+04	6.953441E+06	2.560339E+06	1.119888E+06	1.167831E+05
347	5.855944E+07	2.537263E+04	1.011862E+07	1.053725E+06	5.163016E+04	1.130728E+06	4.442553E+05	6.522657E+06	9.893257E+05	1.357069E+06	8.052891E+05
348	5.856849E+07	2.219757E+04	1.064174E+07	5.442246E+05	2.712506E+04	5.935473E+05	2.836420E+05	8.699588E+06	1.062651E+06	2.446457E+05	3.511978E+05
349	5.859085E+07	2.191297E+04	1.064673E+07	5.183305E+05	2.560352E+04	5.658470E+05	5.073739E+05	8.678397E+06	8.168968E+05	2.361762E+05	4.078710E+05
350	5.833706E+07	2.310218E+04	1.102166E+07	4.031080E+05	2.456075E+04	4.507709E+05	9.133240E+05	6.234975E+06	1.596472E+06	4.565192E+05	1.820298E+06
351	5.855338E+07	2.181196E+04	1.076010E+07	4.461007E+05	2.296660E+04	4.908792E+05	6.025761E+05	8.330046E+06	6.275889E+05	2.130013E+05	9.868553E+05
352	5.834586E+07	2.301870E+04	1.081194E+07	5.973323E+05	3.359019E+04	6.539412E+05	9.980654E+04	5.893762E+06	2.494919E+06	1.149336E+06	1.174075E+06
353	5.823637E+07	2.318757E+04	1.112876E+07	3.988000E+05	2.490006E+04	4.468876E+05	1.533805E+05	5.910202E+06	2.267535E+06	7.428854E+05	2.054690E+06
354	5.819215E+07	2.780462E+04	1.066866E+07	8.675327E+05	5.617158E+04	9.515089E+05	1.955204E+05	5.778397E+06	2.603933E+06	5.592070E+05	1.531549E+06
355	5.846950E+07	2.478863E+04	1.054410E+07	7.293285E+05	3.920150E+04	7.933186E+05	1.745701E+05	7.731877E+06	1.009982E+06	3.752335E+05	1.252393E+06
