simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
498	5.911334E+07	2.101911E+04	1.050042E+07	1.642735E+05	1.056460E+04	1.958572E+05	1.880671E+05	6.724920E+06	2.616997E+06	3.028053E+05	6.675982E+05
499	5.946030E+07	2.317484E+04	9.979086E+06	3.266868E+05	2.148752E+04	3.713492E+05	7.010972E+05	6.313301E+06	7.359447E+05	3.222940E+05	1.906370E+06
500	5.943607E+07	2.135562E+04	1.009200E+07	2.455135E+05	1.533778E+04	2.822069E+05	2.020469E+05	6.545771E+06	2.389016E+06	4.442631E+05	5.108857E+05
501	5.897003E+07	2.262641E+04	1.024002E+07	5.478347E+05	3.205922E+04	6.025204E+05	6.804817E+05	5.268698E+06	2.491193E+06	1.155351E+06	6.442666E+05
502	5.937175E+07	2.550628E+04	9.731625E+06	6.410327E+05	4.079445E+04	7.073334E+05	7.332872E+04	6.695242E+06	1.598334E+06	2.946939E+05	1.069984E+06
503	6.099684E+07	2.277393E+04	8.453822E+06	3.156590E+05	2.085045E+04	3.592834E+05	1.595021E+05	7.146069E+06	6.396320E+05	4.982411E+04	4.587726E+05
504	5.926747E+07	2.371435E+04	1.010451E+07	3.889769E+05	2.540117E+04	4.380924E+05	2.499050E+05	6.764606E+06	1.468566E+06	1.910385E+05	1.430342E+06
505	6.128443E+07	2.247594E+04	8.163442E+06	3.196720E+05	2.075819E+04	3.629061E+05	1.194113E+05	6.949520E+06	4.729354E+05	2.141111E+05	4.074451E+05
506	5.886507E+07	2.186796E+04	1.037049E+07	5.249190E+05	3.000899E+04	5.767960E+05	6.721572E+05	5.214128E+06	3.008842E+06	1.267924E+06	2.074221E+05
507	5.787535E+07	2.307338E+04	1.152192E+07	3.674213E+05	2.316645E+04	4.136611E+05	5.229069E+05	5.860490E+06	2.659475E+06	6.065347E+05	1.872448E+06
508	5.787796E+07	2.763386E+04	1.079964E+07	1.047077E+06	6.094029E+04	1.135651E+06	9.505853E+05	4.747644E+06	2.117034E+06	1.247037E+06	1.737269E+06
