simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
114	5.812842E+07	3.477058E+03	1.275486E+07	4.535092E+05	0.000000E+00	4.569863E+05	1.235593E+06	6.006727E+06	3.402011E+06	1.039653E+05	2.006567E+06
115	6.104748E+07	3.257901E+03	9.787994E+06	5.015467E+05	0.000000E+00	5.048046E+05	9.810220E+04	6.408823E+06	2.531514E+06	6.867708E+05	6.278378E+04
116	6.210740E+07	4.933483E+02	9.119726E+06	1.126509E+05	0.000000E+00	1.131442E+05	5.151369E+04	6.860326E+06	1.561833E+06	3.862943E+05	2.597588E+05
117	5.995654E+07	5.599820E+03	1.060158E+07	7.765538E+05	0.000000E+00	7.821536E+05	7.123165E+05	6.201666E+06	3.135431E+06	5.226029E+05	2.955979E+04
118	6.191302E+07	2.024404E+03	9.081964E+06	3.432634E+05	0.000000E+00	3.452878E+05	2.850094E+04	6.470391E+06	1.387545E+06	6.698903E+05	5.256365E+05
119	5.950143E+07	1.015619E+03	1.164172E+07	1.961055E+05	0.000000E+00	1.971211E+05	6.274143E+05	5.862824E+06	3.031082E+06	5.198662E+05	1.600529E+06
120	6.023657E+07	6.996274E+03	1.005697E+07	1.039734E+06	0.000000E+00	1.046730E+06	5.810213E+05	5.382277E+06	2.298243E+06	1.187716E+06	6.077127E+05
121	6.220572E+07	5.434716E+03	8.262618E+06	8.664948E+05	0.000000E+00	8.719295E+05	4.239731E+05	5.281605E+06	4.385284E+04	1.375109E+06	1.138078E+06
122	6.231364E+07	3.479469E+03	8.453785E+06	5.693673E+05	0.000000E+00	5.728468E+05	4.674204E+05	5.879805E+06	7.418111E+05	9.927712E+05	3.719775E+05
123	5.880825E+07	4.935122E+03	1.187059E+07	6.564994E+05	0.000000E+00	6.614345E+05	7.469696E+05	6.138418E+06	3.597033E+06	2.461426E+05	1.142022E+06
124	6.191790E+07	2.353763E+03	9.031694E+06	3.883205E+05	0.000000E+00	3.906743E+05	9.060438E+05	5.805258E+06	4.680752E+05	6.958840E+05	1.156433E+06
125	5.839608E+07	5.596091E+03	1.208015E+07	8.584486E+05	0.000000E+00	8.640447E+05	1.113545E+06	4.621534E+06	3.345337E+06	1.156148E+06	1.843586E+06
126	6.045306E+07	5.036555E+03	1.012789E+07	7.542825E+05	0.000000E+00	7.593191E+05	1.593130E+05	5.808167E+06	1.243856E+06	8.995391E+05	2.017011E+06
127	6.170495E+07	5.191018E+03	8.960337E+06	6.697918E+05	0.000000E+00	6.749828E+05	3.990749E+05	6.958925E+06	8.327736E+05	9.931349E+04	6.702500E+05
128	6.069339E+07	6.226167E+03	9.725752E+06	9.149056E+05	0.000000E+00	9.211318E+05	6.948109E+05	5.668631E+06	2.126414E+06	9.771308E+05	2.587651E+05
129	6.045535E+07	1.274925E+03	1.059824E+07	2.854027E+05	0.000000E+00	2.866776E+05	5.525937E+05	5.623446E+06	2.864168E+06	9.543291E+05	6.037063E+05
130	6.179127E+07	4.876640E+03	8.782334E+06	7.617812E+05	0.000000E+00	7.666578E+05	3.352887E+04	5.768029E+06	3.003667E+04	1.112867E+06	1.837872E+06
131	5.981779E+07	1.735682E+03	1.128346E+07	2.372863E+05	0.000000E+00	2.390220E+05	1.003764E+06	6.310650E+06	1.575992E+06	1.357615E+05	2.257291E+06
132	6.305153E+07	7.116674E+02	8.139711E+06	1.483150E+05	0.000000E+00	1.490267E+05	5.114175E+05	6.649942E+06	4.633193E+05	4.481177E+05	6.691456E+04
133	6.092940E+07	1.791717E+03	1.016751E+07	2.415631E+05	0.000000E+00	2.433548E+05	4.000281E+05	6.802915E+06	9.575935E+05	1.141163E+05	1.892857E+06
134	6.235596E+07	1.856487E+03	8.586867E+06	3.955881E+05	0.000000E+00	3.974446E+05	3.868200E+05	5.607563E+06	1.010628E+06	1.235798E+06	3.460581E+05
135	5.912921E+07	5.003942E+03	1.153715E+07	6.689080E+05	0.000000E+00	6.739119E+05	7.996451E+05	6.168840E+06	2.721020E+06	2.746020E+05	1.573046E+06
136	6.092450E+07	3.156093E+03	9.835352E+06	5.772618E+05	0.000000E+00	5.804179E+05	3.401807E+05	5.126295E+06	1.502195E+06	1.368245E+06	1.498436E+06
137	6.184375E+07	7.813793E+02	9.337907E+06	1.578263E+05	0.000000E+00	1.586077E+05	2.904271E+05	6.531928E+06	1.331474E+06	4.534237E+05	7.306545E+05
138	6.282330E+07	8.821788E+02	8.326198E+06	1.898850E+05	0.000000E+00	1.907672E+05	3.711927E+04	6.676154E+06	7.108501E+05	6.019004E+05	3.001746E+05
139	6.094889E+07	6.819588E+03	9.381015E+06	1.003542E+06	0.000000E+00	1.010362E+06	3.241864E+05	5.614974E+06	5.646335E+05	1.081304E+06	1.795917E+06
140	5.972293E+07	2.099884E+03	1.114344E+07	4.717949E+05	0.000000E+00	4.738948E+05	2.996207E+05	4.703521E+06	2.705467E+06	1.585057E+06	1.849779E+06
141	6.059970E+07	3.216856E+03	1.027133E+07	4.660215E+05	0.000000E+00	4.692384E+05	6.256757E+05	6.288600E+06	2.490241E+06	4.534689E+05	4.133462E+05
142	6.240363E+07	3.136916E+03	8.496855E+06	4.366444E+05	0.000000E+00	4.397813E+05	2.030111E+05	6.914730E+06	6.621897E+05	3.053147E+05	4.116091E+05
143	6.040702E+07	4.733689E+03	1.021287E+07	7.156481E+05	0.000000E+00	7.203818E+05	5.863269E+03	5.865715E+06	1.413248E+06	8.971605E+05	2.030880E+06
144	6.069642E+07	2.700130E+03	1.021855E+07	4.225946E+05	0.000000E+00	4.252947E+05	1.187975E+05	6.437578E+06	2.945418E+06	6.223844E+05	9.436925E+04
145	5.847473E+07	6.591463E+03	1.200022E+07	8.587385E+05	0.000000E+00	8.653300E+05	6.395797E+05	6.370848E+06	2.714997E+06	1.895538E+05	2.085239E+06
146	6.191985E+07	2.310509E+03	8.958871E+06	4.592334E+05	0.000000E+00	4.615439E+05	6.611325E+05	5.124279E+06	2.959305E+05	1.283430E+06	1.594099E+06
147	5.970651E+07	2.807260E+03	1.117412E+07	4.568402E+05	0.000000E+00	4.596475E+05	8.284444E+05	5.611502E+06	3.209375E+06	7.815203E+05	7.432788E+05
148	6.181967E+07	4.052596E+03	8.977184E+06	5.393674E+05	0.000000E+00	5.434200E+05	7.210733E+05	6.709330E+06	1.105715E+06	2.041783E+05	2.368878E+05
149	6.289330E+07	9.583897E+02	8.253307E+06	1.927015E+05	0.000000E+00	1.936599E+05	7.172084E+05	6.374499E+06	5.109569E+05	5.493862E+05	1.012567E+05
150	6.026350E+07	1.382593E+03	1.080006E+07	2.753251E+05	0.000000E+00	2.767077E+05	8.856459E+05	5.431883E+06	1.907455E+06	7.720189E+05	1.803054E+06
151	5.887045E+07	5.421231E+03	1.172825E+07	7.361501E+05	0.000000E+00	7.415713E+05	2.495030E+05	6.303860E+06	2.302925E+06	3.856529E+05	2.486305E+06
152	6.216385E+07	1.254584E+03	9.005112E+06	1.700546E+05	0.000000E+00	1.713092E+05	2.210012E+05	7.142463E+06	1.197382E+06	8.689681E+04	3.573691E+05
